contact_1,contact_2,label,id,is_explicit,is_stim_only,type_1,type_2,avg.region,avg.x,avg.y,avg.z,avg.dural.region,avg.dural.x,avg.dural.y,avg.dural.z,ind.region,ind.x,ind.y,ind.z,ind.dural.region,ind.dural.x,ind.dural.y,ind.dural.z,tal.region,tal.x,tal.y,tal.z,wb.region,wb.x,wb.y,wb.z,stein.region,stein.x,stein.y,stein.z,das.region,das.x,das.y,das.z,mni.x,mni.y,mni.z
53,54,8RD9-8RD10,8rd.9-8rd.10,False,False,D,D,middletemporal,63.08,-56.945,-2.305,middletemporal,63.08,-56.945,-2.305,middletemporal,52.07,-27.61,-5.745,middletemporal,52.07,-27.61,-5.745,,61.332,-50.7252,0.13728,Right MTG middle temporal gyrus,,,,Right Middle Temporal Gyrus,,,,,,,,62.19370000000001,-50.5131,1.323773294064958
55,56,10RD1-10RD2,10rd.1-10rd.2,False,False,D,D,superiortemporal,46.535,-20.34,-10.15,superiortemporal,46.535,-20.34,-10.15,superiortemporal,37.375,7.25,-10.54,superiortemporal,37.375,7.25,-10.54,,45.02585,-14.4499,-9.32143,Right Cerebral White Matter,,,,,,,,,,,,46.312200000000004,-13.4968,-10.709207565824045
56,57,10RD2-10RD3,10rd.2-10rd.3,False,False,D,D,superiortemporal,50.885,-19.44,-8.5,superiortemporal,50.885,-19.44,-8.5,superiortemporal,41.15,7.99,-8.775,superiortemporal,41.15,7.99,-8.775,,49.3449,-13.3516,-7.959015,Right Cerebral White Matter,,,,,,,,,,,,50.693349999999995,-12.50365,-7.511396204955135
57,58,10RD3-10RD4,10rd.3-10rd.4,False,False,D,D,superiortemporal,55.25,-18.715,-7.525,superiortemporal,55.25,-18.715,-7.525,superiortemporal,44.975,8.625,-7.62,superiortemporal,44.975,8.625,-7.62,,53.67065,-12.50225,-7.18547,Right Cerebral White Matter,,,,,,,,,,,,55.024649999999994,-11.44295,-5.56472861861452
58,59,10RD4-10RD5,10rd.4-10rd.5,False,False,D,D,superiortemporal,59.34,-17.99,-6.555,superiortemporal,59.34,-17.99,-6.555,superiortemporal,48.56,9.26,-6.485,superiortemporal,48.56,9.26,-6.485,,57.72585,-11.65185,-6.41518,Right Cerebral White Matter,,,,,,,,,,,,58.59555,-10.126805000000001,-4.05208516606785
59,60,10RD5-10RD6,10rd.5-10rd.6,False,False,D,D,superiortemporal,63.425,-17.765,-5.445,superiortemporal,63.425,-17.765,-5.445,superiortemporal,52.14,9.41,-5.27,superiortemporal,52.14,9.41,-5.27,,61.7741,-11.29395,-5.482505,Right Cerebral White Matter,,,,,,,,,,,,61.67305,-9.538030000000001,-2.547956046371035
61,62,12RD1-12RD2,12rd.1-12rd.2,False,False,D,D,superiortemporal,45.69,-29.015,-0.075,superiortemporal,45.69,-29.015,-0.075,superiortemporal,36.195,-1.71,-2.37,superiortemporal,36.195,-1.71,-2.37,,44.26915,-22.1769,0.2654898,Right Cerebral White Matter,,,,,,,,,,,,45.3705,-22.00055,0.03515915333798458
62,63,12RD2-12RD3,12rd.2-12rd.3,False,False,D,D,superiortemporal,50.6,-28.295,0.915,superiortemporal,50.6,-28.295,0.915,transversetemporal,40.505,-1.075,-1.18,transversetemporal,40.505,-1.075,-1.18,,49.13595,-21.3285,1.0678135,Right Cerebral White Matter,,,,,,,,,,,,50.5107,-21.9431,2.0512789669741953
63,64,12RD3-12RD4,12rd.3-12rd.4,False,False,D,D,superiortemporal,55.77,-27.405,2.585,superiortemporal,55.77,-27.405,2.585,superiortemporal,45.015,-0.335,0.65,superiortemporal,45.015,-0.335,0.65,,54.26665,-20.22775,2.551425,Right Cerebral White Matter,,,,,,,,,,,,55.4724,-21.11275,3.9056970581964
64,65,12RD4-12RD5,12rd.4-12rd.5,False,False,D,D,superiortemporal,61.485,-27.02,4.41,superiortemporal,61.485,-27.02,4.41,superiortemporal,50.005,-0.08,2.6,superiortemporal,50.005,-0.08,2.6,,59.93155,-19.6197,4.241995,Right Cerebral White Matter,,,,,,,,,,,,60.6619,-20.77345,5.12618273787512
65,66,12RD5-12RD6,12rd.5-12rd.6,False,False,D,D,superiortemporal,66.94,-26.805,5.555,superiortemporal,66.94,-26.805,5.555,superiortemporal,54.795,0.065,3.915,superiortemporal,54.795,0.065,3.915,,65.33255,-19.2624,5.282965,Right Cerebral White Matter,,,,,,,,,,,,65.2833,-20.6204,5.957246905969775
66,67,12RD6-12RD7,12rd.6-12rd.7,False,False,D,D,superiortemporal,71.835,-26.495,7.025,superiortemporal,71.835,-26.495,7.025,superiortemporal,59.075,0.27,5.5,superiortemporal,59.075,0.27,5.5,,70.18905,-18.77715,6.639745,,,,,,,,,,,,,69.6027,-20.390349999999998,7.17663068600647
67,68,12RD7-12RD8,12rd.7-12rd.8,False,False,D,D,superiortemporal,76.725,-26.1,8.83,superiortemporal,76.725,-26.1,8.83,superiortemporal,63.335,0.53,7.39,superiortemporal,63.335,0.53,7.39,,75.0422,-18.166,8.319515,,,,,,,,,,,,,74.62,-20.002299999999998,8.668506779600625
69,70,14RD1-14RD2,14rd.1-14rd.2,False,False,D,D,bankssts,48.445,-40.87,-4.275,bankssts,48.445,-40.87,-4.275,middletemporal,38.985,-12.47,-6.93,middletemporal,38.985,-12.47,-6.93,,46.9065,-34.6515,-2.637385,Right MTG middle temporal gyrus,,,,Right Middle Temporal Gyrus,,,,,,,,49.2035,-35.304,1.1871146786026299
70,71,14RD2-14RD3,14rd.2-14rd.3,False,False,D,D,bankssts,53.31,-41.3,-1.51,bankssts,53.31,-41.3,-1.51,middletemporal,43.175,-13.065,-4.255,middletemporal,43.175,-13.065,-4.255,,51.7391,-34.7839,-0.192302,Right STG superior temporal gyrus,,,,,,,,,,,,53.00995,-35.65155,5.208345870404495
71,72,14RD3-14RD4,14rd.3-14rd.4,False,False,D,D,middletemporal,58.455,-41.82,0.925,middletemporal,58.455,-41.82,0.925,middletemporal,47.635,-13.715,-1.87,middletemporal,47.635,-13.715,-1.87,,56.84575,-35.0388,2.022248,Right STG superior temporal gyrus,,,,,,,,,,,,57.0088,-34.9756,7.293414589285366
72,73,14RD4-14RD5,14rd.4-14rd.5,False,False,D,D,middletemporal,63.605,-41.845,3.22,middletemporal,63.605,-41.845,3.22,superiortemporal,52.1,-13.885,0.43,superiortemporal,52.1,-13.885,0.43,,61.95925,-34.7967,4.163175,Right STG superior temporal gyrus,,,,,,,,,,,,61.158950000000004,-33.349050000000005,8.899908449424455
74,75,16RD1-16RD2,16rd.1-16rd.2,False,False,D,D,supramarginal,43.57,-37.27,17.85,supramarginal,43.57,-37.27,17.85,supramarginal,33.475,-10.915,12.725,supramarginal,33.475,-10.915,12.725,,42.3357,-28.56575,18.26465,Right PO parietal operculum,,,,,,,,,,,,42.13035,-30.392400000000002,15.71108729725575
75,76,16RD2-16RD3,16rd.2-16rd.3,False,False,D,D,supramarginal,47.365,-36.865,19.63,supramarginal,47.365,-36.865,19.63,supramarginal,36.755,-10.655,14.535,supramarginal,36.755,-10.655,14.535,,46.1067,-27.95055,19.93005,Right Cerebral White Matter,,,,,,,,,,,,45.857150000000004,-29.65465,18.240468138714647
76,77,16RD3-16RD4,16rd.3-16rd.4,False,False,D,D,supramarginal,51.16,-37.05,21.215,supramarginal,51.16,-37.05,21.215,supramarginal,40.055,-10.93,16.12,supramarginal,40.055,-10.93,16.12,,49.8741,-27.95315,21.44785,Right Cerebral White Matter,,,,,,,,,,,,49.594899999999996,-29.58605,20.72549941027745
77,78,16RD4-16RD5,16rd.4-16rd.5,False,False,D,D,supramarginal,55.765,-36.485,23.69,supramarginal,55.765,-36.485,23.69,supramarginal,44.02,-10.56,18.605,supramarginal,44.02,-10.56,18.605,,54.45005,-27.08925,23.77005,Right Cerebral White Matter,,,,,,,,,,,,54.2705,-27.8666,24.0319069462586
78,79,16RD5-16RD6,16rd.5-16rd.6,False,False,D,D,supramarginal,59.82,-35.91,26.155,supramarginal,59.82,-35.91,26.155,supramarginal,47.495,-10.195,21.05,supramarginal,47.495,-10.195,21.05,,58.4849,-26.2233,26.0851,Right SMG supramarginal gyrus,,,,,,,,,,,,58.6567,-26.117350000000002,26.511176518174295
80,81,18RD1-18RD2,18rd.1-18rd.2,False,False,D,D,inferiorparietal,44.075,-45.475,17.285,inferiorparietal,44.075,-45.475,17.285,supramarginal,34.03,-18.565,11.575,supramarginal,34.03,-18.565,11.575,,42.7998,-36.953,18.31975,Right Cerebral White Matter,,,,,,,,,,,,44.7,-40.72635,17.9612929656134
81,82,18RD2-18RD3,18rd.2-18rd.3,False,False,D,D,inferiorparietal,47.885,-45.245,18.39,inferiorparietal,47.885,-45.245,18.39,supramarginal,37.365,-18.41,12.775,supramarginal,37.365,-18.41,12.775,,46.5775,-36.58955,19.33915,Right Cerebral White Matter,,,,,,,,,,,,47.893950000000004,-40.696349999999995,18.63736792542235
82,83,18RD3-18RD4,18rd.3-18rd.4,False,False,D,D,inferiorparietal,52.245,-45.025,19.505,inferiorparietal,52.245,-45.025,19.505,supramarginal,41.185,-18.26,14.01,supramarginal,41.185,-18.26,14.01,,50.8963,-36.22825,20.3657,Right Cerebral White Matter,,,,,,,,,,,,51.72395,-40.48555,19.300664394055453
83,84,18RD4-18RD5,18rd.4-18rd.5,False,False,D,D,supramarginal,56.865,-44.715,20.965,supramarginal,56.865,-44.715,20.965,superiortemporal,45.22,-18.055,15.57,superiortemporal,45.22,-18.055,15.57,,55.48225,-35.74205,21.7188,Right SMG supramarginal gyrus,,,,,,,,,,,,55.7124,-39.85345,20.8627676426694
84,85,18RD5-18RD6,18rd.5-18rd.6,False,False,D,D,supramarginal,61.48,-44.315,22.765,supramarginal,61.48,-44.315,22.765,superiortemporal,49.235,-17.795,17.44,superiortemporal,49.235,-17.795,17.44,,60.0649,-35.12985,23.395,Right PT planum temporale,,,,,,,,,,,,59.4139,-38.43585,23.45100896260765
85,86,18RD6-18RD7,18rd.6-18rd.7,False,False,D,D,supramarginal,65.285,-44.0,24.21,supramarginal,65.285,-44.0,24.21,superiortemporal,52.545,-17.59,18.945,superiortemporal,52.545,-17.59,18.945,,63.8393,-34.6405,24.73745,Right SMG supramarginal gyrus,,,,,,,,,,,,62.4805,-37.11735,25.419258106236548
